transaction_id,customer_id,amount,currency,transaction_date,product_category,status
T0001,C001,99.99,USD,2023-02-01,electronics,completed
T0002,C001,45.50,USD,2023-02-15,books,completed
T0003,C002,125.00,USD,2023-03-01,clothing,completed
T0004,C003,75.25,CAD,2023-03-20,electronics,completed
T0005,C004,200.00,USD,2023-04-01,home,completed
T0006,C005,89.99,GBP,2023-04-10,books,completed
T0007,C006,-50.00,USD,2023-04-25,clothing,refunded
T0008,C001,150.00,USD,2023-05-01,electronics,completed
T0009,C007,300.00,CAD,2023-05-15,home,completed
T0010,C008,65.00,USD,2023-05-20,books,completed
T0011,C009,180.50,MXN,2023-06-01,clothing,completed
T0012,C010,95.00,USD,06/15/2023,electronics,completed
T0013,C011,110.00,GBP,2023-06-25,home,pending
T0014,C012,55.50,USD,2023-07-01,books,completed
T0015,C999,75.00,USD,2023-07-10,clothing,completed
T0016,C014,220.00,USD,2023-07-20,electronics,completed
T0017,C015,45.00,USD,07/30/2023,books,completed
T0018,C016,160.00,GBP,2023-08-05,home,completed
T0019,C001,85.00,USD,2023-08-15,clothing,completed
T0020,C017,130.00,USD,2023-08-25,electronics,completed
T0021,C018,70.00,MXN,2023-09-01,books,completed
T0022,C019,250.00,CAD,09/10/2023,home,completed
T0023,C020,40.00,USD,2023-09-20,clothing,completed
T0024,C021,175.00,USD,2023-09-30,electronics,completed
T0025,C022,60.00,GBP,2023-10-05,books,refunded
T0026,C023,190.00,USD,2023-10-15,home,completed
T0027,C024,80.00,CAD,10/25/2023,clothing,completed
T0028,C025,145.00,USD,2023-11-01,electronics,completed
T0029,C026,35.00,USD,2023-11-10,books,pending
T0030,C027,210.00,GBP,2023-11-20,home,completed
T0031,C028,55.00,MXN,11/30/2023,clothing,completed
T0032,C029,165.00,USD,2023-12-05,electronics,completed
T0033,C030,50.00,CAD,2023-12-15,books,completed
T0034,,90.00,USD,2023-12-20,home,completed
T0035,C001,120.00,USD,2023-12-25,clothing,completed
T0036,C002,200.00,USD,12/30/2023,electronics,completed
T0037,C003,75.00,CAD,2024-01-05,books,completed
T0038,C004,185.00,USD,2024-01-10,home,completed
T0039,C005,65.00,GBP,01/15/2024,clothing,completed
T0040,C006,140.00,USD,2024-01-20,electronics,completed
